Stand;RaumID;RaumName;AgeGroup;Overall;male;female;german;german_male;german_female;non_german;non_german_male;non_german_female
2019-12-31;DG;Deutschland;unter 3 Jahre;2371417;1216345;1155072;2046825;1049274;997551;324592;167071;157521
2019-12-31;DG;Deutschland;3 bis unter 6 Jahre;2361438;1211532;1149906;2036460;1043474;992986;324978;168058;156920
2019-12-31;DG;Deutschland;6 bis unter 10 Jahre;2955491;1518675;1436816;2583229;1324380;1258849;372262;194295;177967
2019-12-31;DG;Deutschland;10 bis unter 15 Jahre;3702913;1905151;1797762;3292610;1689434;1603176;410303;215717;194586
2019-12-31;DG;Deutschland;15 bis unter 18 Jahre;2286643;1178731;1107912;2056599;1054989;1001610;230044;123742;106302
2019-12-31;DG;Deutschland;18 bis unter 20 Jahre;1652600;860115;792485;1455006;746375;708631;197594;113740;83854
2019-12-31;DG;Deutschland;20 bis unter 25 Jahre;4608431;2416497;2191934;3689525;1887186;1802339;918906;529311;389595
2019-12-31;DG;Deutschland;25 bis unter 30 Jahre;5074471;2635982;2438489;3931303;2001668;1929635;1143168;634314;508854
2019-12-31;DG;Deutschland;30 bis unter 35 Jahre;5495720;2830265;2665455;4365716;2214939;2150777;1130004;615326;514678
2019-12-31;DG;Deutschland;35 bis unter 40 Jahre;5289210;2683121;2606089;4280246;2156303;2123943;1008964;526818;482146
2019-12-31;DG;Deutschland;40 bis unter 45 Jahre;4909026;2470934;2438092;3964806;1985839;1978967;944220;485095;459125
2019-12-31;DG;Deutschland;45 bis unter 50 Jahre;5273358;2648940;2624418;4402727;2202703;2200024;870631;446237;424394
2019-12-31;DG;Deutschland;50 bis unter 55 Jahre;6710235;3383771;3326464;5998946;3009045;2989901;711289;374726;336563
2019-12-31;DG;Deutschland;55 bis unter 60 Jahre;6737305;3370390;3366915;6207400;3090509;3116891;529905;279881;250024
2019-12-31;DG;Deutschland;60 bis unter 65 Jahre;5647771;2779453;2868318;5270512;2587816;2682696;377259;191637;185622
2019-12-31;DG;Deutschland;65 bis unter 70 Jahre;4859032;2312527;2546505;4556862;2182624;2374238;302170;129903;172267
2019-12-31;DG;Deutschland;70 bis unter 75 Jahre;3674095;1718280;1955815;3406341;1588714;1817627;267754;129566;138188
2019-12-31;DG;Deutschland;75 bis unter 80 Jahre;3876420;1733030;2143390;3702949;1641850;2061099;173471;91180;82291
2019-12-31;DG;Deutschland;80 bis unter 85 Jahre;3294281;1370290;1923991;3192982;1316966;1876016;101299;53324;47975
2019-12-31;DG;Deutschland;85 bis unter 90 Jahre;1563807;570366;993441;1523036;550145;972891;40771;20221;20550
2019-12-31;DG;Deutschland;90 Jahre und mehr;823047;223218;599829;804609;216441;588168;18438;6777;11661
