Stand;AgeGroup;german_male_ledig;german_male_married;german_male_verwitwet;german_male_divorces;german_male_partnership;german_male_former_partnership;german_male_dead_partnership;german_female_ledig;german_female_married;german_female_verwitwet;german_female_divorces;german_female_partnership;german_female_former_partnership;german_female_dead_partnership;non_german_male_ledig;non_german_male_married;non_german_male_verwitwet;non_german_male_divorces;non_german_male_partnership;non_german_male_former_partnership;non_german_male_dead_partnership;non_german_female_ledig;non_german_female_married;non_german_female_verwitwet;non_german_female_divorces;non_german_female_partnership;non_german_female_former_partnership;non_german_female_dead_partnership
31.12.2019;unter 1 Jahr;343429;-;-;-;-;-;-;326048;-;-;-;-;-;-;54131;-;-;-;-;-;-;51262;-;-;-;-;-;-
31.12.2019;1-Jährige;351062;-;-;-;-;-;-;334082;-;-;-;-;-;-;56148;-;-;-;-;-;-;52840;-;-;-;-;-;-
31.12.2019;2-Jährige;354783;-;-;-;-;-;-;337421;-;-;-;-;-;-;56792;-;-;-;-;-;-;53419;-;-;-;-;-;-
31.12.2019;3-Jährige;355500;-;-;-;-;-;-;339200;-;-;-;-;-;-;58088;-;-;-;-;-;-;55028;-;-;-;-;-;-
31.12.2019;4-Jährige;345478;-;-;-;-;-;-;328283;-;-;-;-;-;-;56298;-;-;-;-;-;-;52084;-;-;-;-;-;-
31.12.2019;5-Jährige;342496;-;-;-;-;-;-;325503;-;-;-;-;-;-;53672;-;-;-;-;-;-;49808;-;-;-;-;-;-
31.12.2019;6-Jährige;332972;-;-;-;-;-;-;316345;-;-;-;-;-;-;49310;-;-;-;-;-;-;45327;-;-;-;-;-;-
31.12.2019;7-Jährige;332350;-;-;-;-;-;-;315241;-;-;-;-;-;-;49185;-;-;-;-;-;-;45193;-;-;-;-;-;-
31.12.2019;8-Jährige;324094;-;-;-;-;-;-;308289;-;-;-;-;-;-;48779;-;-;-;-;-;-;44645;-;-;-;-;-;-
31.12.2019;9-Jährige;334964;-;-;-;-;-;-;318974;-;-;-;-;-;-;47021;-;-;-;-;-;-;42802;-;-;-;-;-;-
31.12.2019;10-Jährige;331044;-;-;-;-;-;-;314114;-;-;-;-;-;-;45625;-;-;-;-;-;-;41593;-;-;-;-;-;-
31.12.2019;11-Jährige;340551;-;-;-;-;-;-;324089;-;-;-;-;-;-;45509;-;-;-;-;-;-;41514;-;-;-;-;-;-
31.12.2019;12-Jährige;341539;-;-;-;-;-;-;323582;-;-;-;-;-;-;42773;-;-;-;-;-;-;38776;-;-;-;-;-;-
31.12.2019;13-Jährige;335631;-;-;-;-;-;-;317561;-;-;-;-;-;-;41490;-;-;-;-;-;-;37016;-;-;-;-;-;-
31.12.2019;14-Jährige;340669;-;-;-;-;-;-;323830;-;-;-;-;-;-;40320;-;-;-;-;-;-;35686;-;-;1;-;-;-
31.12.2019;15-Jährige;348941;-;-;-;-;-;-;331623;-;-;-;-;-;-;40419;1;-;-;-;-;-;35838;-;1;-;-;-;-
31.12.2019;16-Jährige;349472;-;-;-;-;-;-;331793;1;2;-;-;-;-;40985;1;-;-;-;-;-;35601;25;-;2;-;-;-
31.12.2019;17-Jährige;356575;1;-;-;-;-;-;338190;1;-;-;-;-;-;42328;4;2;2;-;-;-;34767;63;-;5;-;-;-
31.12.2019;18-Jährige;365726;47;1;-;-;-;-;346032;338;-;2;-;-;-;48826;38;1;1;-;-;-;36933;555;-;14;-;-;-
31.12.2019;19-Jährige;380350;247;1;3;-;-;-;360765;1483;-;11;-;-;-;64677;187;1;9;-;-;-;44548;1780;5;19;-;-;-
31.12.2019;20-Jährige;370590;729;2;9;-;-;-;349098;3409;3;38;-;-;-;90783;598;1;13;-;-;-;59870;3658;8;60;-;-;-
31.12.2019;21-Jährige;375973;1746;3;24;-;-;-;354016;6422;6;167;-;-;-;95553;1316;1;33;-;-;-;64503;6006;13;120;-;-;-
31.12.2019;22-Jährige;384788;3508;3;60;-;-;-;359949;11437;16;370;-;-;-;106493;2676;5;96;-;-;-;68506;9466;23;250;-;-;-
31.12.2019;23-Jährige;374902;6350;6;148;-;-;-;345351;18336;18;705;-;-;-;108083;4553;1;142;-;-;-;72445;13095;32;424;-;-;-
31.12.2019;24-Jährige;357304;10711;14;316;-;-;-;324327;27417;33;1221;-;-;-;111593;7118;19;234;-;-;-;74078;16364;40;634;-;-;-
31.12.2019;25-Jährige;353213;18090;14;576;-;-;-;313416;41271;57;1889;-;-;-;112161;9806;20;451;-;-;-;74948;20189;55;876;-;-;-
31.12.2019;26-Jährige;354850;28507;19;1004;-;-;-;307677;58709;71;2962;-;-;-;111220;12658;15;663;-;-;-;74757;23692;79;1259;-;-;-
31.12.2019;27-Jährige;345772;42588;34;1720;-;-;-;292586;80443;104;4431;-;-;-;109134;16127;32;864;-;-;-;71984;28009;93;1594;-;-;-
31.12.2019;28-Jährige;342371;61246;37;2590;-;-;-;281316;105113;173;6133;-;-;-;106672;19734;39;1204;-;-;-;69552;32009;98;2027;-;-;-
31.12.2019;29-Jährige;356917;87950;60;4110;-;-;-;284729;139431;222;8902;-;-;-;107955;23942;45;1572;-;-;-;68474;36515;135;2509;-;-;-
31.12.2019;30-Jährige;327579;109058;83;5535;-;-;-;256781;160409;361;11146;-;-;-;101330;27063;59;2156;-;-;-;64299;40357;194;2817;-;-;-
31.12.2019;31-Jährige;315232;133856;88;7612;-;-;-;239689;186801;410;14241;-;-;-;96447;30356;77;2571;-;-;-;58953;43643;189;3417;-;-;-
31.12.2019;32-Jährige;288122;151336;146;9189;-;-;-;216297;200287;531;16796;-;-;-;87836;32570;88;2878;-;-;-;52849;45995;217;3873;-;-;-
31.12.2019;33-Jährige;263348;166589;177;11189;-;-;-;197811;212923;653;19408;-;-;-;80532;33324;88;3392;-;-;-;47514;47276;234;4242;-;-;-
31.12.2019;34-Jährige;238562;173786;235;13217;-;-;-;176728;216969;779;21757;-;-;-;74272;36341;124;3822;-;-;-;43661;49828;286;4834;-;-;-
31.12.2019;35-Jährige;223749;186699;276;15280;-;-;-;164280;226320;967;24594;-;-;-;67730;37302;119;4297;-;-;-;39297;51362;327;5487;-;-;-
31.12.2019;36-Jährige;211785;198455;320;18003;-;-;-;154835;235277;1152;28314;-;-;-;61034;39203;105;4715;-;-;-;35768;53272;420;6104;-;-;-
31.12.2019;37-Jährige;204685;211946;385;21018;-;-;-;147398;248750;1357;32260;-;-;-;57118;42372;136;5409;-;-;-;33104;55783;462;6985;-;-;-
31.12.2019;38-Jährige;189282;219670;426;23356;-;-;-;137663;253809;1758;35431;-;-;-;51907;43943;153;6203;-;-;-;29576;58042;498;7762;-;-;-
31.12.2019;39-Jährige;177944;226565;516;25943;-;-;-;129207;259690;1920;38961;-;-;-;51108;47050;184;6730;-;-;-;28750;60193;573;8381;-;-;-
31.12.2019;40-Jährige;159017;222840;562;27419;-;-;-;114584;250886;2215;40414;-;-;-;44765;47314;209;7244;-;-;-;25138;59451;715;9045;-;-;-
