Stand;RaumID;RaumName;AgeGroup;Overall;male;female;german;german_male;german_female;non_german;non_german_male;non_german_female
31.12.2019;01;Schleswig-Holstein;unter 3 Jahre;76706;39321;37385;67406;34509;32897;9300;4812;4488
31.12.2019;01;Schleswig-Holstein;3 bis unter 6 Jahre;78346;40000;38346;69225;35300;33925;9121;4700;4421
31.12.2019;01;Schleswig-Holstein;6 bis unter 10 Jahre;101670;52145;49525;91826;47056;44770;9844;5089;4755
31.12.2019;01;Schleswig-Holstein;10 bis unter 15 Jahre;131460;67588;63872;119341;61276;58065;12119;6312;5807
31.12.2019;01;Schleswig-Holstein;15 bis unter 18 Jahre;83728;43069;40659;77213;39557;37656;6515;3512;3003
31.12.2019;01;Schleswig-Holstein;18 bis unter 20 Jahre;60819;31410;29409;55172;28071;27101;5647;3339;2308
31.12.2019;01;Schleswig-Holstein;20 bis unter 25 Jahre;158042;83036;75006;136261;70222;66039;21781;12814;8967
31.12.2019;01;Schleswig-Holstein;25 bis unter 30 Jahre;161920;84556;77364;135434;69274;66160;26486;15282;11204
31.12.2019;01;Schleswig-Holstein;30 bis unter 35 Jahre;167868;86114;81754;141726;71310;70416;26142;14804;11338
31.12.2019;01;Schleswig-Holstein;35 bis unter 40 Jahre;168221;83069;85152;145001;70822;74179;23220;12247;10973
31.12.2019;01;Schleswig-Holstein;40 bis unter 45 Jahre;165485;81270;84215;143964;70207;73757;21521;11063;10458
31.12.2019;01;Schleswig-Holstein;45 bis unter 50 Jahre;186988;92243;94745;168059;82475;85584;18929;9768;9161
31.12.2019;01;Schleswig-Holstein;50 bis unter 55 Jahre;254271;125954;128317;239112;118101;121011;15159;7853;7306
31.12.2019;01;Schleswig-Holstein;55 bis unter 60 Jahre;241130;119131;121999;229772;113252;116520;11358;5879;5479
31.12.2019;01;Schleswig-Holstein;60 bis unter 65 Jahre;194566;94561;100005;186456;90566;95890;8110;3995;4115
31.12.2019;01;Schleswig-Holstein;65 bis unter 70 Jahre;168964;80755;88209;162620;78123;84497;6344;2632;3712
31.12.2019;01;Schleswig-Holstein;70 bis unter 75 Jahre;143614;67514;76100;138093;65151;72942;5521;2363;3158
31.12.2019;01;Schleswig-Holstein;75 bis unter 80 Jahre;152317;69594;82723;148623;67867;80756;3694;1727;1967
31.12.2019;01;Schleswig-Holstein;80 bis unter 85 Jahre;125518;53876;71642;123485;52812;70673;2033;1064;969
31.12.2019;01;Schleswig-Holstein;85 bis unter 90 Jahre;53324;19798;33526;52496;19429;33067;828;369;459
31.12.2019;01;Schleswig-Holstein;90 Jahre und mehr;28816;7879;20937;28319;7721;20598;497;158;339
31.12.2019;02;Hamburg;unter 3 Jahre;60938;31320;29618;52457;26952;25505;8481;4368;4113
31.12.2019;02;Hamburg;3 bis unter 6 Jahre;57337;29210;28127;48514;24778;23736;8823;4432;4391
31.12.2019;02;Hamburg;6 bis unter 10 Jahre;66823;34263;32560;57029;29216;27813;9794;5047;4747
31.12.2019;02;Hamburg;10 bis unter 15 Jahre;79536;41320;38216;68768;35645;33123;10768;5675;5093
31.12.2019;02;Hamburg;15 bis unter 18 Jahre;46252;23871;22381;40294;20680;19614;5958;3191;2767
31.12.2019;02;Hamburg;18 bis unter 20 Jahre;34140;17570;16570;29212;14826;14386;4928;2744;2184
31.12.2019;02;Hamburg;20 bis unter 25 Jahre;112172;56611;55561;87012;42442;44570;25160;14169;10991
31.12.2019;02;Hamburg;25 bis unter 30 Jahre;146039;72003;74036;111070;53291;57779;34969;18712;16257
31.12.2019;02;Hamburg;30 bis unter 35 Jahre;155763;77659;78104;120035;58299;61736;35728;19360;16368
31.12.2019;02;Hamburg;35 bis unter 40 Jahre;141809;70460;71349;110740;53875;56865;31069;16585;14484
31.12.2019;02;Hamburg;40 bis unter 45 Jahre;124554;62432;62122;96283;47486;48797;28271;14946;13325
31.12.2019;02;Hamburg;45 bis unter 50 Jahre;120743;60794;59949;94989;47251;47738;25754;13543;12211
31.12.2019;02;Hamburg;50 bis unter 55 Jahre;140413;71220;69193;119519;59987;59532;20894;11233;9661
31.12.2019;02;Hamburg;55 bis unter 60 Jahre;126531;63108;63423;110433;54425;56008;16098;8683;7415
31.12.2019;02;Hamburg;60 bis unter 65 Jahre;97844;47548;50296;86505;41689;44816;11339;5859;5480
31.12.2019;02;Hamburg;65 bis unter 70 Jahre;80730;37359;43371;71575;33321;38254;9155;4038;5117
31.12.2019;02;Hamburg;70 bis unter 75 Jahre;71865;33014;38851;63814;29168;34646;8051;3846;4205
31.12.2019;02;Hamburg;75 bis unter 80 Jahre;76055;33845;42210;70979;31239;39740;5076;2606;2470
31.12.2019;02;Hamburg;80 bis unter 85 Jahre;62170;25573;36597;59066;23961;35105;3104;1612;1492
31.12.2019;02;Hamburg;85 bis unter 90 Jahre;28387;10097;18290;27024;9425;17599;1363;672;691
31.12.2019;02;Hamburg;90 Jahre und mehr;17152;4697;12455;16314;4388;11926;838;309;529
31.12.2019;03;Niedersachsen;unter 3 Jahre;224293;114820;109473;196878;100755;96123;27415;14065;13350
31.12.2019;03;Niedersachsen;3 bis unter 6 Jahre;224695;115491;109204;196038;100783;95255;28657;14708;13949
31.12.2019;03;Niedersachsen;6 bis unter 10 Jahre;282816;145245;137571;249202;127732;121470;33614;17513;16101
31.12.2019;03;Niedersachsen;10 bis unter 15 Jahre;365405;188264;177141;327366;168348;159018;38039;19916;18123
31.12.2019;03;Niedersachsen;15 bis unter 18 Jahre;234833;120705;114128;213330;109174;104156;21503;11531;9972
31.12.2019;03;Niedersachsen;18 bis unter 20 Jahre;171397;89184;82213;153743;78964;74779;17654;10220;7434
31.12.2019;03;Niedersachsen;20 bis unter 25 Jahre;460391;242753;217638;388345;200386;187959;72046;42367;29679
31.12.2019;03;Niedersachsen;25 bis unter 30 Jahre;475653;250345;225308;392194;202049;190145;83459;48296;35163
31.12.2019;03;Niedersachsen;30 bis unter 35 Jahre;483763;249786;233977;404332;205390;198942;79431;44396;35035
31.12.2019;03;Niedersachsen;35 bis unter 40 Jahre;467542;234782;232760;397246;198099;199147;70296;36683;33613
31.12.2019;03;Niedersachsen;40 bis unter 45 Jahre;450350;224499;225851;383613;190206;193407;66737;34293;32444
31.12.2019;03;Niedersachsen;45 bis unter 50 Jahre;513387;254802;258585;452115;223171;228944;61272;31631;29641
31.12.2019;03;Niedersachsen;50 bis unter 55 Jahre;670929;336501;334428;620639;309721;310918;50290;26780;23510
31.12.2019;03;Niedersachsen;55 bis unter 60 Jahre;655323;326741;328582;618234;306830;311404;37089;19911;17178
31.12.2019;03;Niedersachsen;60 bis unter 65 Jahre;543772;268009;275763;517652;254510;263142;26120;13499;12621
31.12.2019;03;Niedersachsen;65 bis unter 70 Jahre;469165;226122;243043;449025;217120;231905;20140;9002;11138
31.12.2019;03;Niedersachsen;70 bis unter 75 Jahre;368921;175799;193122;351433;167299;184134;17488;8500;8988
